Gene names,2015 Dill LPS Late
Ftl1;Ftl2,0.558550025
Fuca1,0.677823336
Fuca2,0.756033357
Fus;Taf15,0
Fxyd5,0
Fyb,1.008156659
Fyco1,0
Fyn,0.979656649
G3bp1,0.946836691
G3bp2,0.800473312
G6pdx,0.930376673
Gaa,1.012520033
Gabarap;Gabarapl1,0
Gabarapl2,0.790093345
Gak,1.225383332
Galc,1.179466625
Galns,0.545580012
Galnt2,0.825996655
Galnt7,0.561956654
Ganab,1.009283365
Gapdh;Gm7293;Gm6316,1.166799968
Gas7,1.007663126
Gba,1.350933321
Gbp5,4.212433396
Gclm,0
Gdap2,1.622566535
Gdi2,0.877500023
Ggh,0.782503335
Ggta1,0.268376657
Gla,0.794380006
Glb1,0.989773318
Glb1l,0
Glg1,0.463126707
Glipr1,0.907053319
Glipr2,0.816406691
Gls,0.419520018
Glt25d1,0.378466681
Gltp,1.339599941
Glud1,0.742596668
Gm10036;Rpl11;Gm10288;Gm5093;Gm7589,1.127400013
Gm10119;Rps3a;Gm9000,0.921106648
Gm10126;Rps29,0
Gm10320;Sec61b,1.321333315
Gm13646;Hist1h2bf;Hist1h2bb;Hist1h2bk;Hist1h2bp,1.38592995
Gm14548,0.588466614
Gm16477;Rpl7a;Gm5619;Rpl7a-ps10;Rpl7a-ps5;Rpl7a-ps3;Gm17415;Gm4978;Gm5459,0.505430006
Gm17352;Rps18;Gm5321,1.017999989
Gm20390;Nme2;Nme1,0.970626672
Gm20425;Srprb,1.163536675
Gm20431;Ube2v1;Gm8325;Ube2v2;Gm5830;Gm10088,1.712533097
Gm20489;Il2rg,0
Gm20498;Synj2bp,0.495186668
Gm2382;Mthfs,0.206960005
Gm2a,0.997100034
Gm5431;OTTMUSG00000005540;9930111J21Rik,0.641356644
Gm5576;Eif4a3,0
Gm6377,2.602566581
Gm8394;Psma5,0.338499984
Gm9755;Tufm,1.187166686
Gmip,0.563769996
Gmpr2,0.99820331
Gna13,0.817836676
Gnai2;Gnai1,1.405033298
Gnai3,0.996836652
Gnaq,0.891403355
Gnas,0.910609979
Gnb1,1.690500043
Gnb2,1.414899963
Gnb2l1,0.822146667
Gnb4,0.409666662
Gng12,1.518666632
Gng2,1.058230019
Gng5,1.248533325
Gns,0.950730014
Golga1,0
Golga4,0.784033337
Golga5,0
Golga7,1.35421018
Golgb1,0.578383341
Gosr1,0.167323339
Got2,0.767983338
Gp49a,0
Gpatch8,0.509166645
Gpd2,0.478333348
Gpi;Gm1840,1.215900004
Gpld1,0
Gpnmb,1.20667334
Gpr107,0.445096632
Gpr108,0
Gpr137b,0.80254336
Gpsm3,0
Gpx1,0.901399994
Gpx4,1.146713366
Grap2,0.655466703
Grb2,0.661169986
Grn,0.664236643
Grpel1,0.255406651
Gsdmdc1,0.837200024
Gsn,0.987976685
Gstk1,0
Gstm1,0.972820009
Gtf2f1,1.075653346
Gtf2f2,1.713899861
Gusb,0.275729966
Gvin1,0.745053333
H1f0,0.743970022
