Gene names,2015 Dill Mannan Early
Fam195b,0.273306675
Fam21,1.210176662
Fam26f,0.920296684
Fam3c,0.88822664
Fam45a,0.913960009
Fam49b,1.357466656
Fam50a,1.079463316
Fam54b,1.127809986
Far1,1.037636658
Farsa,0.584666647
Farsb,1.683433274
Fbln2,0
Fcer1g,1.265299983
Fcgr1,1.701833354
Fcgr2;Fcgr2b,0.743600018
Fcgr3,0.231526671
Fcgr3P08508,1.485933319
Fcgrt,1.090186657
Fcrls,0.956783322
Fdps,0.418666677
Fen1,1.297199987
Fermt3,1.420366656
Fes,1.234933301
Fh,0.489323324
Fis1,0.742030007
Fkbp15,0.897446632
Fkbp2,0.822219987
Fkbp8,0.742133307
Flcn,0.698560019
Flna,0.952199991
Flnc,0.09106336
Flot1,0.709690011
Flot2,0.762583344
Fmnl1,1.157833344
Fn1,0.914216633
Fnbp1,0
Folr2,1.710133346
Frmd8,0.464376728
FRRS1,0.735400016
Fth1,0.760009988
Ftl1;Ftl2,0.866813329
Fuca1,0.865503359
Fuca2,0.989759979
Fus;Taf15,0.484300031
Fxyd5,0
Fyb,1.423333359
Fyco1,0
Fyn,1.519299979
G3bp1,1.323433321
G3bp2,1.097320021
G6pdx,0.894440003
Gaa,0.868690014
Gabarap;Gabarapl1,0.686383332
Gabarapl2,0.64726666
Gak,0
Galc,0.681756647
Galns,0.840639991
Galnt2,0.98491667
Galnt7,1.112680026
Ganab,0.935876673
Gapdh;Gm7293;Gm6316,1.421466639
Gas7,0
Gba,0.831656661
Gbp5,0.625196671
Gclm,0.270646662
Gdap2,0.866226661
Gdi2,0.893096664
Ggh,0.771216663
Ggta1,0
Gla,0.92052001
Glb1,0.759116672
Glb1l,0
Glg1,0.757346677
Glipr1,1.285566706
Glipr2,1.51323333
Gls,0
Glt25d1,0.986433344
Gltp,0.299483349
Glud1,0.657076676
Gm10036;Rpl11;Gm10288;Gm5093;Gm7589,1.629466659
Gm10119;Rps3a;Gm9000,1.384833339
Gm10126;Rps29,0
Gm10320;Sec61b,0
Gm13646;Hist1h2bf;Hist1h2bb;Hist1h2bk;Hist1h2bp,1.328103363
Gm14548,1.921599812
Gm16477;Rpl7a;Gm5619;Rpl7a-ps10;Rpl7a-ps5;Rpl7a-ps3;Gm17415;Gm4978;Gm5459,1.604500007
Gm17352;Rps18;Gm5321,1.656133377
Gm20390;Nme2;Nme1,1.001249986
Gm20425;Srprb,0.648169971
Gm20431;Ube2v1;Gm8325;Ube2v2;Gm5830;Gm10088,0.611456647
Gm20489;Il2rg,0.524366636
Gm20498;Synj2bp,0.405013316
Gm2382;Mthfs,0.381266664
Gm2a,0.866589977
Gm5431;OTTMUSG00000005540;9930111J21Rik,0.360466676
Gm5576;Eif4a3,0
Gm6377,0
Gm8394;Psma5,0.743059986
Gm9755;Tufm,0.662353321
Gmip,0.857119965
Gmpr2,0.845320004
Gna13,1.494366668
Gnai2;Gnai1,1.281433328
Gnai3,1.302366648
Gnaq,1.849999938
Gnas,1.590866689
Gnb1,1.051319974
Gnb2,1.214266665
Gnb2l1,1.391800076
Gnb4,0
Gng12,1.215599974
Gng2,0.926373366
Gng5,1.388266693
Gns,0.788903334
Golga1,0.313216667
Golga4,0.907893326
Golga5,0
Golga7,0.794316702
Golgb1,0.504874659
Gosr1,0.659296681
Got2,0.709653343
Gp49a,1.334199969
Gpatch8,0.447799989
Gpd2,0.403106715
Gpi;Gm1840,1.194029985
Gpld1,0
Gpnmb,0.726979977
Gpr107,0.867363315
Gpr108,0.964536671
Gpr137b,0.505633263
Gpsm3,0.808933324
Gpx1,0.32068334
Gpx4,0.805440011
Grap2,0.303186664
Grb2,1.86666684
Grn,0.589016673
Grpel1,0
Gsdmdc1,0.224866663
Gsn,1.329000019
Gstk1,0
Gstm1,0.991573316
Gtf2f1,0.822916671
Gtf2f2,1.049713354
Gusb,0.526243368
Gvin1,0.888486673
H1f0,0.797569979
H2-Aa,0.413293334
H2-Ab1,1.170350012
H2-D1,0.338366667
H2-D1;H2-L,1.499666683
H2-DMa,1.199200057
H2-DMb1;H2-DMb2,0.984140004
H2-K1,1.599999981
H2-T23,1.278933389
H2afx,1.159676702
H2afy,1.303930027
H2afz;H2afv,1.212513325
Hadha,0.709639985
Hadhb,0.598079997
Hba;Hba-a1,1.345100062
Hbxip,0.73262669
Hck,1.202566712
Hcls1,0.970469981
Hdac1;Gm10093,0.955193326
Hdhd2;Ier3ip1,0.462816649
Heatr7a,0.691820023
Hexa,0.857986661
Hexb,0.968356674
Hfe,1.340133348
Hgs,1.262253317
Hgsnat,0.656726685
Hint2,0
Hist1h1a,1.218993206
Hist1h1b,1.130033362
Hist1h1c,1.455613361
Hist1h1d,1.226809987
Hist1h1e,1.207603401
Hist1h2af;Hist1h2ab;Hist3h2a;Hist1h2ah,1.011673325
Hist1h3b;Hist1h3a,1.338413312
Hist1h4a,1.501923338
Hist2h2aa1;Hist1h2al;Hist2h2ac,1.064566662
Hist3h2bb;Hist3h2ba,0
Hk1,0.682063351
Hk2,0
Hm13;H13,0.538173327
Hmga1,1.257840079
Hmga2,0.705633275
Hmgb1,1.365049997
Hmgb2,1.326366646
Hmgcl,0.551699986
Hmgn2,0
Hmha1,0.831570016
Hmox1,0.820483337
Hmox2,0.79572998
Hn1l,0.198536669
Hnrnpa0,1.316136693
Hnrnpa1,1.90336683
Hnrnpa2b1,2.096600147
Hnrnpa3;Gm6793;Gm8991,1.639899994
Hnrnpab,1.836800252
Hnrnpc,1.446286646
Hnrnpd,0
Hnrnpf,1.414513335
Hnrnph1,1.584363462
Hnrnpk;Gm7964,1.370649908
Hnrnpl,1.49323332
Hnrnpm,1.258683325
Hnrnpu,1.084643312
Hp1bp3,1.085936704
Hpcal1;Hpca,1.024846663
Hps1,0.258323339
Hps3,0.772150008
Hps4,0.717566688
Hpse,0.709220013
Hras1,1.03532002
Hs2st1,0.584876659
Hsd17b10,0.234609998
Hsd17b11,0.701686666
Hsd17b12,0.799810004
Hsd17b4,0.749966688
Hsdl1,0.463666655
Hsp90aa1,0.90492668
Hsp90ab1,1.030270003
Hsp90b1,0.817856653
Hspa4,0.94880001
Hspa5,0.869263325
Hspa8,1.124113312
Hspa9,0.708110014
Hspd1,0.75910333
Hspe1,0.999433343
Hspg2,0
Htatip2,0.882083331
Hvcn1,1.18910666
Hyal1,0.353566688
Hyou1,0.813869992
Icam1,1.630333336
Idh1,1.019050021
Idh2,0.746070003
Idh3a,0.68104668
Idh3b,0.474349999
Idh3g,0
Ids,1.156066678
Idua,0.804336678
Ifi204,1.419100009
Ifi205b,0.764773335
Ifi30,0.741236665
Ifit1,0
Ifitm2,1.228753372
Ifitm3,1.778866686
Ifngr1,1.294800043
Igbp1,0
Igf2r,1.116986655
Igsf6,1.792266765
Igtp,0.555599989
Il16,0.667399987
Ilk,0.829093357
Ilvbl,0
Inf2,1.128016648
Inpp5d,1.022813345
Iqgap1,1.146199984
Iqgap2,0
Irf2bp2,0.736650001
Irgm1,0.854233331
Irgm2,1.084699974
Isg15,0.973390013
Isg20,0.528439993
Ist1,0.903393325
Itch,0.199983337
Itga4,1.62813332
Itga5,1.6666
Itga6,1.751233326
Itgam,2.105066879
Itgav,1.556200037
Itgax,1.162500277
Itgb1,1.597833353
Itgb2,1.894299804
Itgb5,1.595900006
Itm2b,1.138833319
Itsn2,1.317600016
Jak1,1.437866679
Jup,0.450426661
Kat2a,0
Kcnab2,0.361966654
Kcnk6,0.777933371
Kcnn4,1.09274333
Kctd12,0.865129991
Kdelr1,1.673043149
Kdm1a,0
Kdm3b,0.346659987
Khdrbs1,1.049976672
Khsrp,0.878056691
Kiaa0196,0.811620003
Kiaa0226;1700021K19Rik,0.85992669
Kiaa0907,0
Kiaa1033,0.885729996
Kiaa1598,0
Kiaa1671,0.840800011
Kif13b,0
Kif16b,1.25136669
Kif1a,0.72577668
Kif5b,0.360046686
Kpnb1,1.036619968
Kras,1.276600021
Krt28;Krt24,2.854733412
Krt76,2.936599911
Lamp1,0.712789988
Lamtor1,0.792826647
Lamtor2,0.744009989
Lamtor3,0.745996648
Lancl1,0
Laptm5,0.767003358
Lasp1,1.182753313
Lat2,0
Lbr,0.956936661
Lcp1,0.934503353
Lcp2,1.53216664
Ldha,0.917430021
Ldlr,0.94059
Lgals1,0.826869981
Lgals3,0.871080008
Lgals3bp,0.815623319
Lgals3bpF6VRP8,0.702276654
Lgals8,0.79695001
Lgals9,0.83795001
Lgmn,0.874669979
Lig1,1.021516697
Lilrb3,1.625500033
Lilrb4,1.619866672
Lima1,0.682949999
Limd2,0.811046663
Lims1,0.668139995
Lin7c;Lin7a,0.294390006
Lipa,1.001036705
Lman1,0.790330016
Lman2,0.846220037
Lmbrd1,0.818296652
Lmbrd2,0.913253317
Lmna,1.331059979
Lmnb1,1.181933369
Lmnb2,1.060919999
Lnpep,1.278599972
Loh12cr1,0.672743325
Lpcat2,0.268380006
Lpl,1.378966642
Lrp1,1.399133366
Lrp1b,1.268200027
Lrpap1,0.974126652
Lrpprc,0
Lrrc25,2.013800135
Lrrc57,0.678126673
Lrrc59,0.944576689
Lrrc8c,0.430099989
Lsp1,1.599000009
Lss,0.504799994
Ly86,0.601443344
Ly9,1.654666659
Lyn,1.739066677
Lypla2,0.420699993
Lyz1,0.686693311
Lyz2,0.72721663
M6pr,1.134676691
Macf1,0.970890014
Magt1,0.359799977
Man1a1,0.809013356
Man1c1,0
Man2a1,0.852333311
Man2b1,0.79521668
Man2b2,0.812656637
Manba,0.748189982
ManbaQ8K2I4,0.724456667
Manf,0.858986657
Map1s,0
Map2k1;Map2k2,0.627133329
Map2k4,0
Map3k11,0.938176683
Map4;Mtap4,1.005206682
Mapre1,0.515366663
Marc2;Mosc2,0
Marcks,0.59687667
Marcksl1,0.57367664
Mark2,0.672220012
Matr3,1.158433363
Mavs,0
Mboat7,0.270970011
Mbp,1.130253322
Mcl1,0.757600015
Mcoln1,0.501043316
Mcoln2,0.204530003
Mdh1,0
Mdh2,0.673456641
Me2,0
Mef2bnb;2310045N01Rik,0
Mesdc2,0
Mettl3,0
Mettl7a1;Mettl7a2-Higd1c;Ubie;Mettl7a2;Mettl7a3;AB099516,0.751163359
Mfge8,1.211246679
Mfsd1,0.698060015
Mfsd12,0.614363352
Mfsd7,0.16579662
Mfsd8,0.47215669
Mgat1,0.476766674
Mgp,0.337733349
Mia3,0.753683352
Mic1,0.789999996
Milr1,1.888166641
Mki67,0.679000007
Mlec,0.813989978
Mlst8,0
Mob1b;Mob1a,0.719439974
Mob4,1.086193341
Mon1a,0.831939984
Mon1b,0.767589981
Mpdu1,0.204126671
Mpeg1,0.546369974
Mpo,0.632729958
Mpp1,1.106900023
Mrc1,1.064249988
Ms4a4c,0.691019971
Msn,1.849400084
Msr1,1.393166613
Msra,0
Mtatp8;mt-Atp8,0.316973329
Mtch2,1.069313348
Mtco1;mt-Co1,0.557593308
Mtco2;mt-Co2,0.850556658
Mtdh,0.232729984
Mtss1,1.241266678
Mvp,0.779139997
Myadm,1.53240001
Myh14,1.33186001
Myh9,1.304996669
Myl12a;Myl12b;Myl9,1.702133076
Myl3;Myl1,1.459423199
Myl6,1.438300002
Myo1c,0.964066672
Myo1e,0.949920015
Myo1f,1.177010012
Myo1g,1.570666618
Myo5a,1.345000029
Myof,1.235366674
Naaa,0.583936674
Naca,1.009709989
Naga,0.967326647
Naglu,0.684390005
Nagpa,0.942496669
Nap1l1,0.815133353
Napa,1.100699988
Napg,0.914469972
Napsa,0.759406663
Nceh1,0.904736659
Ncf1,0.735733331
Ncf2,0.865960001
Nckap1l,1.210933328
Ncl,1.35803326
Ncoa3,0.651893338
Ncor1,0.915859997
Ncstn,0.85094999
Nde1;Ndel1,0.166146695
Ndufa10,0
Ndufa4,0.656533316
Ndufa6,0.371733342
Ndufc2,0.337533315
Ndufs1,0.453119993
Ndufs2,0
Ndufs3,0
Ndufv1,0
Ndufv2,0.170936667
Neb,0.699173331
Necap2,1.382300034
Nek2,1.216749972
Neu1,0.744739995
Nfam1,0.54759998
Nfatc2ip,0.473226674
Nhlrc3,0.933933344
Nhp2l1,0.423300002
Nhsl2,0.315146665
Nin,0.586300015
Nipsnap3b,0.206176656
Nisch,0.704266663
Nmt1;Nmt2,0
Nob1,1.005143354
Nomo1,0.558166676
Nono,1.212600019
Npc1,0.635813343
Npc2,0.809513319
Npm1,1.954099983
Nptn,1.377133331
Nrp1,1.725533302
Nrp2,1.515566672
Nsdhl,0.938046685
Nsf,0.947710005
Nucb1,0.926646705
Nucb2,0.893636636
Nudc,1.064456664
Numa1,1.035916687
Numb,0.591986667
Numbl,0.761033329
Nup54,1.01053334
Nup62,1.382910136
Nutf2,0
Oas1a;Oas1g,0.873103342
Oas3,1.437533363
Oat,0.870790006
Ogdh,0.683586671
ORF3,0
Osbp,0.374463318
Osbpl11,0.744416676
Osbpl1a,0.954259992
Osbpl6,0
Osbpl8,1.036386641
Osbpl9,0.771206671
Ostf1,1.060376669
Ostm1,0.753579996
Otud7a,0.107499995
Oxct1,0.508126675
P2rx4,0.487339951
P2rx7,1.435243608
P33monox;4833439L19Rik,0
P4hb,0.886739983
Pa2g4,1.411799971
Pabpc1;Pabpc6,1.041633328
Paics,1.62666646
Paip1,0.270576678
Pak2,1.248333463
Parp1,0.891596671
Parp14,0.31082333
Pcbp1,1.454973166
Pcbp2;Pcbp3,0.884699977
Pcdhb2,0
Pck2,0.848606689
Pcmt1,0.361066656
Pcna,1.309933353
Pcnp,0.982916684
Pcyox1,0.77510331
Pcyox1l,0.271663322
Pcyt1a,0.907760012
Pdcd6,1.029733316
