Gene names,2015 Dill Calreticulin Early
Flot2,0.68515998
Fmnl1,1.122933339
Fn1,1.060466641
Fnbp1,0.896366646
Folr2,1.687733358
Frmd8,0.38906667
FRRS1,1.249900044
Fth1,0.88337666
Ftl1;Ftl2,0.89124666
Fuca1,0.779513352
Fuca2,0.852919978
Fus;Taf15,0
Fxyd5,0.539866686
Fyb,1.424233354
Fyco1,0
Fyn,1.31053335
G3bp1,1.301866699
G3bp2,1.231883354
G6pdx,1.176700056
Gaa,0.983303308
Gabarap;Gabarapl1,0
Gabarapl2,1.54519997
Gak,0.729206671
Galc,0.664806702
Galns,0.829283362
Galnt2,0.916760024
Galnt7,1.144966668
Ganab,1.026410002
Gapdh;Gm7293;Gm6316,1.697433311
Gas7,0.592599987
Gba,0.856946658
Gbp5,0.787243315
Gclm,0.74937331
Gdap2,0.711003337
Gdi2,1.055496675
Ggh,0.772676684
Ggta1,0.690740022
Gla,0.741330009
Glb1,0.742796653
Glb1l,0
Glg1,0.734023322
Glipr1,1.418599991
Glipr2,1.597033305
Gls,0.219136666
Glt25d1,1.387967001
Gltp,0
Glud1,0.68588331
Gm10036;Rpl11;Gm10288;Gm5093;Gm7589,1.929999958
Gm10119;Rps3a;Gm9000,1.336066678
Gm10126;Rps29,0
Gm10320;Sec61b,0.709199997
Gm13646;Hist1h2bf;Hist1h2bb;Hist1h2bk;Hist1h2bp,1.090466663
Gm14548,2.009233404
Gm16477;Rpl7a;Gm5619;Rpl7a-ps10;Rpl7a-ps5;Rpl7a-ps3;Gm17415;Gm4978;Gm5459,1.235560002
Gm17352;Rps18;Gm5321,1.456399957
Gm20390;Nme2;Nme1,1.22174329
Gm20425;Srprb,0.829796669
Gm20431;Ube2v1;Gm8325;Ube2v2;Gm5830;Gm10088,0.518899985
Gm20489;Il2rg,1.177599965
Gm20498;Synj2bp,0.428686684
Gm2382;Mthfs,0
Gm2a,0.92025
Gm5431;OTTMUSG00000005540;9930111J21Rik,1.9643331
Gm5576;Eif4a3,0
Gm6377,0
Gm8394;Psma5,1.031486641
Gm9755;Tufm,0.816713301
Gmip,1.177733348
Gmpr2,0.628003336
Gna13,1.513966654
Gnai2;Gnai1,1.080576713
Gnai3,1.11508333
Gnaq,1.818766546
Gnas,1.439733343
Gnb1,0.95756665
Gnb2,1.178533358
Gnb2l1,1.615733144
Gnb4,0.247693343
Gng12,1.164143319
Gng2,0.941926665
Gng5,1.164933311
Gns,0.828389999
Golga1,0.415823319
Golga4,0.867516631
Golga5,0.379433325
Golga7,1.119033346
Golgb1,0.4855
Gosr1,0.471820001
Got2,0.788413347
Gp49a,1.127200024
Gpatch8,0.385600011
Gpd2,0
Gpi;Gm1840,1.313566673
Gpld1,0.33894995
Gpnmb,0.78729999
Gpr107,0.85639001
Gpr108,0.326469997
Gpr137b,0.655073309
Gpsm3,0.858306693
Gpx1,0.948866649
Gpx4,0.81155665
Grap2,0
Grb2,1.481266646
Grn,0.48379001
Grpel1,0
Gsdmdc1,0
Gsn,1.776006576
Gstk1,0.257590001
Gstm1,1.723700339
Gtf2f1,0.755433336
Gtf2f2,0.932786674
Gusb,0.608923367
Gvin1,0.791369997
H1f0,0.782733321
H2-Aa,0.943583325
H2-Ab1,0.891433325
H2-D1,0.592233334
H2-D1;H2-L,1.544066663
H2-DMa,0.765300045
H2-DMb1;H2-DMb2,1.050240006
H2-K1,1.641999935
H2-T23,1.227499773
H2afx,0.948743334
H2afy,0.505420022
H2afz;H2afv,0.933606655
Hadha,0.719963331
Hadhb,0.637483342
Hba;Hba-a1,0
Hbxip,0.891273329
Hck,1.212433338
Hcls1,1.151113341
Hdac1;Gm10093,0.657216696
Hdhd2;Ier3ip1,0.747750014
Heatr7a,0.594776671
Hexa,0.910963336
Hexb,0.993679981
Hfe,1.532633584
Hgs,1.428033315
Hgsnat,0.697386652
Hint2,0.329689999
Hist1h1a,0.691933312
Hist1h1b,0.501800022
Hist1h1c,0.509576701
Hist1h1d,0.539653392
Hist1h1e,0.520286698
