Gene names,2015 Dill Complement Early
Mvp,0.90085335
Myadm,1.621299843
Myh14,1.446100004
Myh9,1.620133274
Myl12a;Myl12b;Myl9,1.93959982
Myl3;Myl1,1.78654642
Myl6,1.640266566
Myo1c,0
Myo1e,0.949153343
Myo1f,1.114696645
Myo1g,1.344133337
Myo5a,1.189699943
Myof,1.279799989
Naaa,0.561359995
Naca,0.90424335
Naga,1.009613311
Naglu,0.75836335
Nagpa,1.34669996
Nap1l1,0.386233337
Napa,1.095433325
Napg,0.931540007
Napsa,0.643963387
Nceh1,0.871669982
Ncf1,0.659609968
Ncf2,0.781099991
Nckap1l,1.189366681
Ncl,0.936790018
Ncoa3,0.493050008
Ncor1,0.208546658
Ncstn,0.787719996
Nde1;Ndel1,0.473863323
Ndufa10,0
Ndufa4,0.871869998
Ndufa6,0.409233342
Ndufc2,0
Ndufs1,0.917003336
Ndufs2,0
Ndufs3,0
Ndufv1,0
Ndufv2,0
Neb,0.901809981
Necap2,0.731776661
Nek2,0.886566666
Neu1,0.747486676
Nfam1,1.039766634
Nfatc2ip,0.536213326
Nhlrc3,0.99199332
Nhp2l1,0
Nhsl2,0.590700021
Nin,0.340766668
Nipsnap3b,0.635129994
Nisch,0.483599983
Nmt1;Nmt2,0
Nob1,0.812880018
Nomo1,0.509400012
Nono,1.385133361
Npc1,0.629763323
Npc2,0.827449989
Npm1,1.471566683
Nptn,1.302900002
Nrp1,1.636399961
Nrp2,1.599766696
Nsdhl,1.009326684
Nsf,0.993240009
Nucb1,0.996863355
Nucb2,0.990306655
Nudc,1.095833322
Numa1,1.139320045
Numb,1.184830003
Numbl,0.621666673
Nup54,0.868096666
Nup62,0.691189983
Nutf2,0.622906658
Oas1a;Oas1g,0.893423327
Oas3,1.103569981
Oat,0.981666669
Ogdh,0.840539979
ORF3,0
Osbp,0.22998333
Osbpl11,0.782726653
Osbpl1a,0.941686678
Osbpl6,0.178869985
Osbpl8,1.14566669
Osbpl9,0.727450001
Ostf1,0.926233335
Ostm1,0.801810015
Otud7a,0
Oxct1,0.675683339
P2rx4,0.484896662
P2rx7,1.156399952
P33monox;4833439L19Rik,0.23465334
P4hb,0.95202334
Pa2g4,1.20231331
Pabpc1;Pabpc6,1.008330004
Paics,1.012906651
Paip1,0.417933352
Pak2,0.791599981
Parp1,1.197593316
Parp14,1.542666697
Pcbp1,1.271820025
Pcbp2;Pcbp3,1.152439997
Pcdhb2,0
Pck2,0.682766676
Pcmt1,0.386499995
Pcna,1.364050206
Pcnp,0.55073339
Pcyox1,0.780243337
Pcyox1l,0.592913339
Pcyt1a,1.022453333
Pdcd6,0.845166683
Pdcd6ip,1.00587668
