Gene names,2015 Dill Phosphatidylserine Late
Lmnb2,1.294099981
Lnpep,0.496770001
Loh12cr1,1.336596695
Lpcat2,0.315253338
Lpl,0.427276699
Lrp1,0.441093256
Lrp1b,0.369270037
Lrpap1,0.966353352
Lrpprc,0.913813307
Lrrc25,0.654873344
Lrrc57,1.13946669
Lrrc59,0.83802334
Lrrc8c,0
Lsp1,0.963800007
Lss,1.146633318
Ly86,1.895099896
Ly9,0.671253344
Lyn,0.620686676
Lypla2,0
Lyz1,1.399276622
Lyz2,1.368366625
M6pr,0.510313293
Macf1,0.665410006
Magt1,0.594900007
Man1a1,0.745653325
Man1c1,0
Man2a1,0.212516661
Man2b1,1.180199973
Man2b2,1.354166623
Manba,1.180633307
ManbaQ8K2I4,0.796400012
Manf,0.787593335
Map1s,0.28739668
Map2k1;Map2k2,1.822466493
Map2k4,0
Map3k11,0
Map4;Mtap4,0.826656648
Mapre1,0.671340009
Marc2;Mosc2,0.745886671
Marcks,0.819199998
Marcksl1,1.165536662
Mark2,0.460433337
Matr3,0.292363335
Mavs,0
Mboat7,0
Mbp,1.088746679
Mcl1,1.346000066
Mcoln1,0.701500019
Mcoln2,0.34373335
Mdh1,0.790463354
Mdh2,0.533273298
Me2,0
Mef2bnb;2310045N01Rik,0.529333329
Mesdc2,0.377956684
Mettl3,0.726433359
Mettl7a1;Mettl7a2-Higd1c;Ubie;Mettl7a2;Mettl7a3;AB099516,1.180263337
Mfge8,1.125316662
Mfsd1,1.217386656
Mfsd12,0.974946641
Mfsd7,1.139033196
Mfsd8,1.268500005
Mgat1,0
Mgp,0
Mia3,1.426966672
Mic1,1.470566672
Milr1,0.370286651
Mki67,3.120890382
Mlec,0.917723315
Mlst8,0
Mob1b;Mob1a,0.646359974
Mob4,0.271896653
Mon1a,1.452200019
Mon1b,1.36866665
Mpdu1,0
Mpeg1,0.849496663
Mpo,1.049336668
Mpp1,1.214966664
Mrc1,0.653650008
Ms4a4c,0.453809998
Msn,0.79313333
Msr1,0.336156668
Msra,0
Mtatp8;mt-Atp8,0.586666655
Mtch2,0
Mtco1;mt-Co1,0
Mtco2;mt-Co2,0.95126667
Mtdh,0
Mtss1,0.763199975
Mvp,0.849840005
Myadm,1.11813333
Myh14,0.126480028
Myh9,0.480243366
Myl12a;Myl12b;Myl9,0.723326628
Myl3;Myl1,1.379066419
Myl6,1.115686687
Myo1c,0
Myo1e,0.692583354
Myo1f,1.105776688
Myo1g,0.576810045
Myo5a,0.939649959
Myof,0.442233345
Naaa,0.943330005
Naca,0.709416675
Naga,1.485533333
Naglu,1.108383318
Nagpa,0.580783331
Nap1l1,0
Napa,0.834616679
Napg,1.008650003
Napsa,1.595133295
Nceh1,1.091373313
Ncf1,0.654880002
Ncf2,0.345466652
Nckap1l,1.238756698
Ncl,0.176746665
Ncoa3,0.554236649
Ncor1,1.438790094
Ncstn,0.550636718
Nde1;Ndel1,1.30313358
Ndufa10,0.233556661
Ndufa4,0.835653346
Ndufa6,0
Ndufc2,0
Ndufs1,1.168566645
Ndufs2,0
Ndufs3,0
Ndufv1,0
Ndufv2,0
Neb,0.951580003
Necap2,1.368199969
Nek2,0
Neu1,1.204233345
Nfam1,0.254146682
Nfatc2ip,0.174990002
Nhlrc3,0.824343332
Nhp2l1,0
Nhsl2,0.484866673
Nin,0.576499974
Nipsnap3b,0.360099999
Nisch,0
Nmt1;Nmt2,0
Nob1,0.565686678
Nomo1,0.455133315
Nono,1.381733368
Npc1,1.336099988
Npc2,0.678726668
Npm1,0.424556718
Nptn,0.74426333
Nrp1,0.511600043
Nrp2,0.685413313
Nsdhl,1.000349967
Nsf,1.120163359
Nucb1,0.737419989
Nucb2,0.88660667
Nudc,0.790243345
Numa1,1.240036608
Numb,0.573623314
Numbl,2.473133755
Nup54,0.989956658
Nup62,1.097306691
Nutf2,0.165296662
Oas1a;Oas1g,0.731266668
Oas3,0.901920028
Oat,0.60457997
Ogdh,0.529276707
ORF3,0.368699994
Osbp,0.785279999
Osbpl11,1.482533351
Osbpl1a,0.750186656
Osbpl6,0.595443289
Osbpl8,0.679393342
Osbpl9,0.971509978
Ostf1,0.361656697
Ostm1,1.151666621
Otud7a,0.596499982
Oxct1,0.474113407
P2rx4,1.566299993
P2rx7,0.916283327
P33monox;4833439L19Rik,0.228009999
P4hb,0.97520665
Pa2g4,0.996736631
Pabpc1;Pabpc6,0.822326686
Paics,0.887966673
Paip1,1.602433305
Pak2,0.199169991
Parp1,1.08628001
Parp14,0
Pcbp1,1.083556693
Pcbp2;Pcbp3,0.345600009
Pcdhb2,0
Pck2,0.378700019
Pcmt1,0
Pcna,1.137000019
Pcnp,1.118576643
Pcyox1,1.397166653
Pcyox1l,0.652269999
Pcyt1a,0.68170333
Pdcd6,1.041163359
Pdcd6ip,0.902143329
Pdha1,0.17128666
Pdhb,0.516869991
Pdia3,1.087233347
Pdia4,0.913359984
Pdia6,1.020423357
Pdlim2,0.895099999
Pdlim5,1.077626643
