Gene names,2015 Dill Mannan Late
Eif6,0.858640002
Elavl1,0.461199994
Elmo1,0.910986634
Elmo2,1.197353346
Elovl1,0.412333333
Emb,0.673623343
Emd,1.738166634
Emp2,0.898520008
Emr1,0.631013313
Endod1,0.745399997
Eno1,0.888723321
Ensa,0
Entpd1,0.696943318
Eny2,0.904539972
Epb4.1;Epb41,0.691309984
Epb4.1l1;Epb41l1,0.539600017
Epb41l2,0.663023327
Ephx1,0.883619983
Eppk1,0.525999962
Eps15l1,0.622926706
Erap1,0.252803317
Erbb2ip,0.238039995
Ergic1,0.425666659
Erh,0.590640018
Erlin1,1.170166671
Erlin2,0.994379975
Erp29,0.938506667
Erp44,0.931589974
Esd,0.996750007
Esyt1,0.573229994
Esyt2,0
Etf1,1.00225001
Etfa,0.502453318
Etfb,0.590396687
Etfdh,0
Evi2a,0
Evi2b,0.563690003
Evl,1.070869972
Ewsr1,0.394833334
Ezr,0.557823349
F13a1,0
Faf2,0.274156674
Fam108b1,1.515666624
FAM120A,0
Fam125a,0.700253362
Fam129a,0.873433319
Fam129b,0.863826689
Fam168a,0.248406667
Fam177a1,0
Fam195b,1.082733187
Fam21,0.549450026
Fam26f,1.53829999
Fam3c,0.816993324
Fam45a,0.992903337
Fam49b,0.87415665
Fam50a,2.752233354
Fam54b,0.503489994
Far1,0
Farsa,0
Farsb,0.25811332
Fbln2,0.375499996
Fcer1g,1.000926654
Fcgr1,0.847859981
Fcgr2;Fcgr2b,0.363210038
Fcgr3,0.637886657
Fcgr3P08508,0.626746675
Fcgrt,0.519283323
Fcrls,0.566083348
Fdps,0.353533347
Fen1,1.343099959
Fermt3,1.035310019
Fes,1.52496984
Fh,1.000783394
Fis1,1.139973309
Fkbp15,1.070740009
Fkbp2,1.023066663
Fkbp8,0.36483332
Flcn,0.525710006
Flna,1.217333352
Flnc,0.089189983
Flot1,1.399966626
Flot2,1.334399982
Fmnl1,0.95754331
Fn1,0.63806335
Fnbp1,0.27150333
Folr2,0.797689978
Frmd8,0
FRRS1,0.417736669
Fth1,0.510543354
Ftl1;Ftl2,0.557856641
Fuca1,0.70865334
Fuca2,0.802293313
Fus;Taf15,0
Fxyd5,0
Fyb,1.047370004
Fyco1,0
Fyn,0.828393355
