Gene names,2015 Dill IgG Early
Emb,2.170233425
Emd,0.811469981
Emp2,2.076900391
Emr1,2.088499948
Endod1,0.594766666
Eno1,0.730966646
Ensa,0.348233343
Entpd1,1.95233303
Eny2,0.875919978
Epb4.1;Epb41,2.036533057
Epb4.1l1;Epb41l1,1.178866691
Epb41l2,2.282499984
Ephx1,0.826019997
Eppk1,1.144343305
Eps15l1,1.326926658
Erap1,0.228223333
Erbb2ip,1.971332962
Ergic1,0.874533354
Erh,0.537009985
Erlin1,0.915546695
Erlin2,0.728433336
Erp29,0.840903348
Erp44,0.940723341
Esd,0.610383353
Esyt1,1.133286672
Esyt2,0
Etf1,1.052399985
Etfa,0.754659989
Etfb,0.842966686
Etfdh,0
Evi2a,0.874566689
Evi2b,2.442166992
Evl,0.995199999
Ewsr1,0.625130008
Ezr,1.790666456
F13a1,0
Faf2,0.521473312
Fam108b1,0.564656703
FAM120A,0.978499826
Fam125a,0.78947332
Fam129a,0
Fam129b,1.401456647
Fam168a,0.683669999
Fam177a1,0
Fam195b,0
Fam21,1.156376653
Fam26f,1.322670008
Fam3c,0.894010019
Fam45a,0.647126668
Fam49b,1.375133315
Fam50a,0.763046706
Fam54b,0.663920005
Far1,1.08960334
Farsa,2.437800382
Farsb,1.784600103
Fbln2,0.274683337
Fcer1g,2.133233275
Fcgr1,2.915133092
Fcgr2;Fcgr2b,1.061679966
Fcgr3,1.283699986
Fcgr3P08508,2.084533326
Fcgrt,1.488736613
Fcrls,0.705283325
Fdps,0
Fen1,1.023626682
Fermt3,1.311966705
Fes,1.5305799
Fh,0.787113305
Fis1,0.657060011
Fkbp15,0.833273323
Fkbp2,0.891409997
Fkbp8,0.414266653
Flcn,0.701589975
Flna,1.044470031
Flnc,0.055353314
Flot1,0.511523311
Flot2,0.549450033
Fmnl1,1.369333307
Fn1,0.63029333
Fnbp1,0.427166643
Folr2,1.992800025
Frmd8,1.238546679
FRRS1,0.910553339
Fth1,0.528429977
Ftl1;Ftl2,0.615586651
Fuca1,0.516900014
Fuca2,0.668566664
Fus;Taf15,0.505833363
Fxyd5,0.462833341
Fyb,1.771533539
Fyco1,0
Fyn,1.809933173
G3bp1,1.816866351
G3bp2,1.090810018
G6pdx,0.753513342
Gaa,0.55662673
Gabarap;Gabarapl1,0.369500008
Gabarapl2,1.7433336
Gak,0.166336709
Galc,0.514326661
Galns,0.505403306
Galnt2,1.047886669
Galnt7,0.936143336
Ganab,1.03257334
Gapdh;Gm7293;Gm6316,1.424933379
Gas7,1.316000009
Gba,0.560343317
Gbp5,0.65635999
Gclm,0
Gdap2,0.967163351
Gdi2,0.833323355
Ggh,0.508316681
Ggta1,0.123936626
Gla,0.633966664
Glb1,0.501393376
Glb1l,0
Glg1,0.719106658
Glipr1,1.51330002
Glipr2,1.439556664
Gls,0.346800009
Glt25d1,1.603766593
Gltp,0
Glud1,0.80967667
Gm10036;Rpl11;Gm10288;Gm5093;Gm7589,2.341700102
Gm10119;Rps3a;Gm9000,2.004699901
Gm10126;Rps29,0
Gm10320;Sec61b,0.672126649
Gm13646;Hist1h2bf;Hist1h2bb;Hist1h2bk;Hist1h2bp,1.948733045
Gm14548,2.570099784
Gm16477;Rpl7a;Gm5619;Rpl7a-ps10;Rpl7a-ps5;Rpl7a-ps3;Gm17415;Gm4978;Gm5459,2.290533079
Gm17352;Rps18;Gm5321,2.334666454
Gm20390;Nme2;Nme1,0.727109998
Gm20425;Srprb,1.078379989
Gm20431;Ube2v1;Gm8325;Ube2v2;Gm5830;Gm10088,0.76436666
Gm20489;Il2rg,0.75663331
Gm20498;Synj2bp,0.555503364
Gm2382;Mthfs,0.244330013
Gm2a,0.66164668
Gm5431;OTTMUSG00000005540;9930111J21Rik,0.92989664
Gm5576;Eif4a3,0
Gm6377,0
Gm8394;Psma5,0.67027997
Gm9755;Tufm,0.818716668
Gmip,1.169966694
Gmpr2,0.544150022
Gna13,2.237000266
Gnai2;Gnai1,1.438633313
Gnai3,1.571166716
Gnaq,2.629200225
Gnas,2.538533421
Gnb1,1.136429954
Gnb2,1.493100006
Gnb2l1,1.448793316
Gnb4,0.64830001
Gng12,1.365629978
Gng2,1.058673299
Gng5,0.981099996
Gns,0.556853261
Golga1,0.155506684
Golga4,0.925719993
Golga5,0.456299981
Golga7,1.890366605
Golgb1,0
Gosr1,0.327099999
Got2,0.93549999
Gp49a,0.561900037
Gpatch8,1.018726673
Gpd2,0.310406656
Gpi;Gm1840,1.079833305
Gpld1,0
Gpnmb,0.605276624
Gpr107,0.70453666
Gpr108,0.577713333
Gpr137b,0.22787333
Gpsm3,1.960999976
Gpx1,0.85856663
Gpx4,0.726830016
Grap2,0
Grb2,2.028166812
Grn,0.444776679
Grpel1,0.339933316
Gsdmdc1,0
Gsn,1.017736655
Gstk1,0.299713339
Gstm1,1.053476664
Gtf2f1,0.774150027
Gtf2f2,0.827886668
Gusb,0.370499945
Gvin1,0.469803338
H1f0,0.297496685
H2-Aa,0.346873346
H2-Ab1,0.853799992
H2-D1,0.346800009
H2-D1;H2-L,2.14180004
H2-DMa,0.539430002
H2-DMb1;H2-DMb2,0.703816661
H2-K1,1.781066639
H2-T23,1.527466683
H2afx,1.94693359
H2afy,1.758066596
H2afz;H2afv,1.643766817
Hadha,0.856973331
Hadhb,0.84235002
Hba;Hba-a1,3.014967724
Hbxip,0.897513325
Hck,1.128899976
Hcls1,1.19575
Hdac1;Gm10093,0.870876628
Hdhd2;Ier3ip1,0.510653309
Heatr7a,0.464209933
Hexa,0.675250061
Hexb,0.738896637
Hfe,1.37721333
Hgs,1.419299949
Hgsnat,0.507623337
Hint2,0
Hist1h1a,1.275050005
Hist1h1b,1.520100031
Hist1h1c,2.118066419
Hist1h1d,2.056899924
Hist1h1e,1.997167127
Hist1h2af;Hist1h2ab;Hist3h2a;Hist1h2ah,1.507199776
Hist1h3b;Hist1h3a,2.618232792
Hist1h4a,2.157899734
Hist2h2aa1;Hist1h2al;Hist2h2ac,1.780633563
Hist3h2bb;Hist3h2ba,0.262706663
Hk1,0.605583291
Hk2,0
Hm13;H13,0.682370013
Hmga1,1.569999935
Hmga2,0.707016675
Hmgb1,1.037509993
Hmgb2,1.401500008
Hmgcl,0.773500024
Hmgn2,0
Hmha1,0.8759133
Hmox1,0.978626669
Hmox2,0.758659999
Hn1l,0
Hnrnpa0,1.535266654
Hnrnpa1,2.240599683
Hnrnpa2b1,2.157333705
Hnrnpa3;Gm6793;Gm8991,1.840933324
Hnrnpab,1.943033103
Hnrnpc,1.567200064
Hnrnpd,1.161133252
Hnrnpf,1.569500208
Hnrnph1,1.278583306
Hnrnpk;Gm7964,1.004496671
Hnrnpl,1.904833497
Hnrnpm,1.326700028
Hnrnpu,1.224533345
Hp1bp3,1.707133127
Hpcal1;Hpca,0.89030001
Hps1,0
