Gene names,2015 Dill IgG Late
Got2,0.952953336
Gp49a,0
Gpatch8,0.836569989
Gpd2,0.581393313
Gpi;Gm1840,1.271733352
Gpld1,0
Gpnmb,1.16292665
Gpr107,0.705406662
Gpr108,0.219906675
Gpr137b,0.590223363
Gpsm3,0.521700002
Gpx1,1.228399988
Gpx4,1.260899973
Grap2,0.626300007
Grb2,0.733000003
Grn,0.649596661
Grpel1,0
Gsdmdc1,0.832200028
Gsn,0.76483668
Gstk1,0.669636693
Gstm1,0.854026663
Gtf2f1,1.109086643
Gtf2f2,2.222300298
Gusb,0.285546663
Gvin1,1.234119991
H1f0,0.439233349
H2-Aa,0.398643336
H2-Ab1,0.815259995
H2-D1,0
H2-D1;H2-L,0.781233333
H2-DMa,0
H2-DMb1;H2-DMb2,0.654333345
H2-K1,0.775236645
H2-T23,0.457733345
H2afx,1.290179996
H2afy,0.684273333
H2afz;H2afv,1.07595002
Hadha,1.043756655
Hadhb,0.999823361
Hba;Hba-a1,0
Hbxip,1.512733365
Hck,1.277933323
Hcls1,2.12833347
Hdac1;Gm10093,0.684766665
Hdhd2;Ier3ip1,0.431643315
Heatr7a,1.241053323
Hexa,0.982043312
Hexb,0.989393355
Hfe,0.268376657
Hgs,0.841083333
Hgsnat,0.902223336
Hint2,0
Hist1h1a,0.647426662
Hist1h1b,0.828050039
Hist1h1c,0.738290021
Hist1h1d,0.82842333
Hist1h1e,0.817743325
Hist1h2af;Hist1h2ab;Hist3h2a;Hist1h2ah,1.065103303
Hist1h3b;Hist1h3a,0.955663356
Hist1h4a,1.041399971
Hist2h2aa1;Hist1h2al;Hist2h2ac,1.967016524
Hist3h2bb;Hist3h2ba,0.453366689
Hk1,1.012079983
Hk2,0.571686664
Hm13;H13,0.700293323
Hmga1,0.161136642
Hmga2,0
Hmgb1,1.366766659
Hmgb2,1.060553322
Hmgcl,0.980633304
Hmgn2,0.677633337
Hmha1,1.14250001
Hmox1,1.14663329
Hmox2,0.947283314
Hn1l,2.775999567
Hnrnpa0,0.809086616
Hnrnpa1,1.194079984
Hnrnpa2b1,1.01313664
Hnrnpa3;Gm6793;Gm8991,0.862853338
Hnrnpab,1.134303314
Hnrnpc,0.522433313
Hnrnpd,1.081339998
Hnrnpf,0.401399994
Hnrnph1,1.412166649
Hnrnpk;Gm7964,1.288100016
Hnrnpl,0.880743348
Hnrnpm,1.285633332
Hnrnpu,0.851659982
Hp1bp3,1.1097833
Hpcal1;Hpca,0.8582167
Hps1,0.830043317
Hps3,0
Hps4,0.946123361
Hpse,1.233113329
Hras1,0.975366643
Hs2st1,0.407633352
Hsd17b10,0.669539995
Hsd17b11,0.853300021
Hsd17b12,0.903323323
Hsd17b4,0.948653337
Hsdl1,0.232643325
Hsp90aa1,1.082616677
Hsp90ab1,0.925139971
Hsp90b1,0.90454335
Hspa4,0.941406633
Hspa5,1.013720017
Hspa8,1.096330015
Hspa9,1.087996644
Hspd1,1.200499993
Hspe1,1.088263367
Hspg2,0.718100004
Htatip2,1.233599963
Hvcn1,0.589293318
Hyal1,0.31952999
Hyou1,0.902803348
Icam1,0.67687668
Idh1,0.367166668
Idh2,1.017590017
Idh3a,1.069923326
Idh3b,0.718366665
Idh3g,0.366666661
Ids,0.898026626
Idua,1.070226692
Ifi204,0.988959999
Ifi205b,1.106006667
Ifi30,0.884063334
Ifit1,0.784100025
Ifitm2,0.434910042
Ifitm3,0.685273353
Ifngr1,0.794566844
Igbp1,0.590966641
Igf2r,0.627676709
Igsf6,0.517869979
Igtp,1.005003333
Il16,1.897699899
Ilk,0.623013319
Ilvbl,1.131159973
Inf2,0.945593294
Inpp5d,1.415116627
Iqgap1,0.963653298
Iqgap2,0
Irf2bp2,1.480866668
Irgm1,1.209666689
Irgm2,1.042006649
Isg15,1.016479991
Isg20,1.394266681
Ist1,1.159700004
Itch,1.220899993
Itga4,0.519696675
Itga5,0.58474997
Itga6,0.616539959
Itgam,0.530636618
Itgav,0.653156674
Itgax,0.621266686
Itgb1,0.531190023
Itgb2,0.504359953
Itgb5,0.633436688
Itm2b,1.10838997
Itsn2,1.160133315
Jak1,0.868780009
Jup,0.49868667
Kat2a,0.199000009
Kcnab2,0
Kcnk6,0.630366687
Kcnn4,0.736899963
Kctd12,1.17682669
Kdelr1,0.687076644
Kdm1a,0
Kdm3b,0.929849798
Khdrbs1,0.865483326
Khsrp,0.827366657
Kiaa0196,0.623030006
Kiaa0226;1700021K19Rik,1.450533361
Kiaa0907,1.794066618
Kiaa1033,0.614809996
Kiaa1598,0.324123343
Kiaa1671,1.14679999
Kif13b,1.381523175
Kif16b,0.680206678
Kif1a,1.12882348
Kif5b,0.943066684
Kpnb1,0.944500042
Kras,1.180399961
Krt28;Krt24,5.494000854
Krt76,9.852665321
Lamp1,1.02859328
Lamtor1,1.682866469
Lamtor2,1.445833307
Lamtor3,1.411566676
Lancl1,0
Laptm5,0.659756622
Lasp1,1.865933328
Lat2,0
Lbr,0.849880003
Lcp1,0.982756673
Lcp2,1.485633372
Ldha,0.986033338
Ldlr,0
Lgals1,1.234543309
Lgals3,2.413032908
Lgals3bp,0.76838335
Lgals3bpF6VRP8,0.853609994
Lgals8,1.587966641
Lgals9,1.399366671
Lgmn,0.897126675
Lig1,1.431166674
Lilrb3,0.554209996
Lilrb4,0.509523262
Lima1,1.594130102
Limd2,2.155399927
Lims1,0
Lin7c;Lin7a,0.557233346
Lipa,1.030940003
Lman1,0.931219995
Lman2,0.859699989
Lmbrd1,1.182600011
Lmbrd2,0.904536653
Lmna,1.23863332
Lmnb1,1.292166611
Lmnb2,1.378533316
Lnpep,0.579696731
Loh12cr1,1.031200043
Lpcat2,0
Lpl,0.665266687
Lrp1,0.508439946
Lrp1b,0.36708663
Lrpap1,1.043793322
Lrpprc,0.42413334
Lrrc25,0.646356679
Lrrc57,1.400300038
Lrrc59,0.946156697
Lrrc8c,0.291186666
Lsp1,1.129210036
Lss,1.098516651
Ly86,1.214816658
Ly9,0.644596669
Lyn,0.670453305
Lypla2,0.441566674
Lyz1,0.880159972
Lyz2,0.888320014
