Gene names,2015 Dill LPS Early
Ddx5,0.854869988
Decr1,0
Degs1,0.865003327
Dek,0
Dennd1a,1.190233329
Dhrs1,0.793883296
Dhrs4,0
Dhrs7,0.843763323
Dhx15,0.418200009
Dhx9,0
Diap1;Diaph1,0.963400002
Diap2;Diaph2,0.897996673
Dirc2,0.53563336
Dlat,0.839039975
Dld,0.945883326
Dlst,0.733573324
Dmxl1,0.64667665
Dnaja1,1.107506678
Dnaja2,0.889466625
Dnajb11,1.113763361
Dnajb6,1.3573
Dnajc13,1.380900035
Dnajc3,0.917680008
Dnajc5,0.878949977
Dnajc8,1.248140002
Dnajc9,0.953516696
Dnase1l1,1.891166407
Dnase2;Dnase2a,0.751653356
Dnm2,0.783306698
Dnm3,0.33433334
Dock2,1.046706666
Dock8,1.139876668
Dok1,0.932600106
Dok2,1.280500037
Dok3,0
Dpep2,0.209490002
Dpm1,0
Dpp7,0.835540019
Dpysl2,1.078680009
Dram1,0.940399994
Dram2,0.355443389
Drg1,0.403033342
Dscr3,1.055436677
Dstyk,0.346699992
Dtx3l,1.086423324
Dusp22,0.266483348
Dusp3,1.064299968
Dync1h1,0.805666658
Dync1i2,0
Dync1li1,0.163586715
Dynll2,0.56889665
E030010N08Rik,0
Ear2;Ear3,0.512323343
Ece1,1.402999971
Echs1,0.978900016
Edil3,0.974100003
Eea1,1.77493342
Eef1a1,1.320699998
Eef1b,1.029180046
Eef1d,1.020013309
Eef1g,1.168780009
Eef2,1.192599976
Efhd2,1.668876287
Ehbp1l1,0
Ehd1,1.100823337
Ehd4,1.121599972
Eif1a;Eif1ax,0
Eif2s1,1.200000012
Eif2s3x;Eif2s3y,0.68089984
Eif3d,0.800053322
Eif3l,0.437899983
Eif4a1;Eif4a2,1.135633284
Eif4e,1.408433323
Eif4e2,0
Eif4enif1,0.576633316
Eif4g1,0.464566667
Eif4g2,1.144266633
Eif4h,0.684760006
Eif5a;Eif5a2,1.355199956
Eif6,1.067380014
Elavl1,0.907733351
Elmo1,1.084800011
Elmo2,0.25389333
Elovl1,0
Emb,1.850699725
Emd,0.709450005
Emp2,2.059033058
Emr1,1.763933289
Endod1,0
Eno1,0.916666668
Ensa,0.231330003
Entpd1,1.868299855
Eny2,0.954556671
Epb4.1;Epb41,2.289033367
Epb4.1l1;Epb41l1,2.235199545
Epb41l2,2.405166551
Ephx1,0.971679997
Eppk1,0.872773322
Eps15l1,1.222163394
Erap1,0.25902666
Erbb2ip,1.765633369
Ergic1,0
Erh,0.472666656
Erlin1,0.922463339
Erlin2,0.702910017
Erp29,0.89078667
Erp44,1.000456666
Esd,1.1832667
